apn,shape_area,category,year_built,class,county,unknown,place_name
"016327307",155200,Existing,1980,storage warehouse,San Bernardino County,"0",Colton
"016214128",84600,Existing,1980,storage warehouse,San Bernardino County,"0",Colton
"016420116",363400,Existing,2017,distribution warehouse,San Bernardino County,"0",Colton
"016331127",171800,Existing,1980,light industrial,San Bernardino County,"0",Colton
"016413207",145600,Existing,1980,storage warehouse,San Bernardino County,"0",Colton
"016345210",486400,Existing,2021,light industrial,San Bernardino County,"0",Colton
"016340107",322700,Existing,1988,storage building,San Bernardino County,"0",Colton
"016431129",267700,Existing,1980,light industrial,San Bernardino County,"0",Colton
"016431146",470900,Existing,1998,light industrial,San Bernardino County,"0",Colton
"016431104",73400,Existing,1980,storage warehouse,San Bernardino County,"0",Colton
"016431134",310000,Existing,1988,distribution warehouse,San Bernardino County,"0",Colton
"016431133",175900,Existing,1990,distribution warehouse,San Bernardino County,"0",Colton
"016431137",134700,Existing,1990,storage warehouse,San Bernardino County,"0",Colton
"016431138",134200,Existing,1990,distribution warehouse,San Bernardino County,"0",Colton
"016421210",179700,Existing,2017,cold storage facility,San Bernardino County,"0",Colton
"016432180",138900,Existing,1996,storage warehouse,San Bernardino County,"0",San Bernardino
"016757105",2627800,Existing,2007,distribution warehouse,San Bernardino County,"0",Redlands
"016764105",694800,Existing,2002,distribution warehouse,San Bernardino County,"0",Redlands
"016764106",669500,Existing,2008,distribution warehouse,San Bernardino County,"0",Redlands
"016755109",1398700,Existing,2006,distribution warehouse,San Bernardino County,"0",Redlands
"016768109",1132000,Existing,2002,distribution warehouse,San Bernardino County,"0",Redlands
"016768107",993200,Existing,2006,distribution warehouse,San Bernardino County,"0",Redlands
"016767103",710100,Existing,2006,distribution warehouse,San Bernardino County,"0",Redlands
"016751126",329400,Existing,2006,distribution warehouse,San Bernardino County,"0",Redlands
"016740106",121600,Existing,2008,distribution warehouse,San Bernardino County,"0",Redlands
"016740107",95900,Existing,2008,distribution warehouse,San Bernardino County,"0",Redlands
"016745109",312400,Existing,2008,distribution warehouse,San Bernardino County,"0",Redlands
"016745108",283000,Existing,2008,distribution warehouse,San Bernardino County,"0",Redlands
"016754109",1460600,Existing,2012,distribution warehouse,San Bernardino County,"0",Redlands
"016748116",935300,Existing,2006,distribution warehouse,San Bernardino County,"0",Redlands
"016751109",2073400,Existing,2003,distribution warehouse,San Bernardino County,"0",Redlands
"016750111",1367100,Existing,2005,flex,San Bernardino County,"0",Redlands
"016751129",2201100,Existing,2015,flex,San Bernardino County,"0",Redlands
"016764107",1063400,Existing,2001,distribution warehouse,San Bernardino County,"0",Redlands
"016755108",1606700,Existing,2001,distribution warehouse,San Bernardino County,"0",Redlands
"016740108",211200,Existing,2008,distribution warehouse,San Bernardino County,"0",Redlands
"016740109",286200,Existing,2008,distribution warehouse,San Bernardino County,"0",Redlands
"016751125",61500,Existing,2006,storage warehouse,San Bernardino County,"0",Redlands
"016740107",138200,Existing,2008,distribution warehouse,San Bernardino County,"0",Redlands
"016740106",109300,Existing,2008,distribution warehouse,San Bernardino County,"0",Redlands
"016932102",194200,Existing,1980,distribution warehouse,San Bernardino County,"0",Redlands
"016902226",204000,Existing,2003,storage warehouse,San Bernardino County,"0",Redlands
"016902109",207200,Existing,1999,light industrial,San Bernardino County,"0",Redlands
"018184126",107200,Existing,1980,storage warehouse,San Bernardino County,"0",Barstow
"018184135",80500,Existing,1980,storage warehouse,San Bernardino County,"0",Barstow
"018355104",66400,Existing,1980,storage warehouse,San Bernardino County,"0",Barstow
"018343126",486600,Existing,2005,improvements ass'd associated apn,San Bernardino County,"0",Barstow
"018513103",130700,Existing,2002,storage warehouse,San Bernardino County,"0",Needles
"018619157",648600,Existing,2019,light industrial,San Bernardino County,"0",Needles
"019113141",111800,Existing,1980,storage warehouse,San Bernardino County,"0",Fontana
"019341101",903400,Existing,2016,distribution warehouse,San Bernardino County,"0",Fontana
"019437127",592700,Existing,2006,distribution warehouse,San Bernardino County,"0",Fontana
"019437125",320900,Existing,2006,distribution warehouse,San Bernardino County,"0",Fontana
"019437126",233400,Existing,2006,distribution warehouse,San Bernardino County,"0",Fontana
"020726266",116600,Existing,2021,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"020727125",542200,Existing,1980,light industrial,San Bernardino County,"0",Rancho Cucamonga
"020727193",491400,Existing,1980,light industrial,San Bernardino County,"0",Rancho Cucamonga
"020726264",224300,Existing,2021,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"020726265",169700,Existing,2021,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"020833123",383700,Existing,1980,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
